year,raceId,driverId,driverRef,constructorId,constructorRef,wins,laps,fastestLapSpeed,fastestLap,milliseconds,seconds,minutes
2020,1040,1,hamilton,131,mercedes,19,53,214.66,48,5663093,5663.093,94.38488
2020,1041,1,hamilton,131,mercedes,19,60,210.253,58,5749641,5749.641,95.82735
2020,1042,1,hamilton,131,mercedes,19,66,212.708,63,5396828,5396.828,89.94713
2020,1043,1,hamilton,131,mercedes,19,63,234.121,63,5312430,5312.43,88.5405
2020,1044,1,hamilton,131,mercedes,19,58,193.302,56,6139313,6139.313,102.3219
2020,1045,1,hamilton,131,mercedes,19,57,209.803,38,1078751,1078.751,17.97918
2020,1047,1,hamilton,131,mercedes,19,55,197.144,37,5807060,5807.06,96.78433
2021,1051,1,hamilton,131,mercedes,19,57,227.633,50,5068471,5068.471,84.47452
2021,1052,1,hamilton,131,mercedes,19,56,207.235,44,5523897,5523.897,92.06495
2021,1053,1,hamilton,131,mercedes,19,63,230.403,60,7376598,7376.598,122.9433
2021,1054,1,hamilton,131,mercedes,19,66,206.971,47,5671421,5671.421,94.52368
2021,1055,1,hamilton,131,mercedes,19,66,208.64,54,5587680,5587.68,93.128
2021,1056,1,hamilton,131,mercedes,19,78,164.769,69,6005051,6005.051,100.0842
2021,1057,1,hamilton,131,mercedes,19,51,206.27,43,8034078,8034.078,133.9013
2021,1058,1,hamilton,131,mercedes,19,71,231.811,71,4974668,4974.668,82.91113
2021,1059,1,hamilton,131,mercedes,19,53,215.903,44,5248674,5248.674,87.4779
2021,1060,1,hamilton,131,mercedes,19,71,228.177,55,5080995,5080.995,84.68325
2021,1061,1,hamilton,131,mercedes,19,52,236.43,45,7103284,7103.284,118.3881
2021,1062,1,hamilton,131,mercedes,19,70,200.363,49,7485935,7485.935,124.7656
2021,1063,1,hamilton,131,mercedes,19,1,.,.,209672,209.672,3.494533
2021,1064,1,hamilton,131,mercedes,19,72,215.654,72,5426327,5426.327,90.43878
2021,1065,1,hamilton,131,mercedes,19,25,242.864,3,.,.,.
2021,1066,1,hamilton,131,mercedes,19,53,215.76,43,5441001,5441.001,90.68335
2021,1067,1,hamilton,131,mercedes,19,58,207.16,52,5505915,5505.915,91.76525
2021,1069,1,hamilton,131,mercedes,19,56,201.521,41,5677885,5677.885,94.63142
2021,1070,1,hamilton,131,mercedes,19,71,194.116,66,5935641,5935.641,98.92735
2021,1071,1,hamilton,131,mercedes,19,71,215.503,46,5542851,5542.851,92.38085
2021,1072,1,hamilton,131,mercedes,19,50,244.962,47,7575118,7575.118,126.252
2021,1073,1,hamilton,131,mercedes,19,58,219.495,43,5419601,5419.601,90.32668
2022,1074,1,hamilton,131,mercedes,19,57,202.469,53,5863259,5863.259,97.72098
2022,1075,1,hamilton,131,mercedes,19,50,239.001,47,5133241,5133.241,85.55402
2022,1076,1,hamilton,131,mercedes,19,58,232.039,51,5295091,5295.091,88.25152
2022,1077,1,hamilton,131,mercedes,19,62,217.054,50,.,.,.
2022,1078,1,hamilton,131,mercedes,19,57,209.629,55,5685626,5685.626,94.76043
2022,1079,1,hamilton,131,mercedes,19,66,199.755,51,5895009,5895.009,98.25015
2022,1080,1,hamilton,131,mercedes,19,64,155.605,51,7040653,7040.653,117.3442
2022,1081,1,hamilton,131,mercedes,19,51,201.887,39,5717620,5717.62,95.29367
2022,1082,1,hamilton,131,mercedes,19,70,206.12,69,5788763,5788.763,96.47938
2022,1083,1,hamilton,131,mercedes,19,52,234.312,52,8276536,8276.536,137.9423
2022,1084,1,hamilton,131,mercedes,19,71,225.286,63,5105529,5105.529,85.09215
2022,1085,1,hamilton,131,mercedes,19,53,215.333,30,5412699,5412.699,90.21165
2022,1086,1,hamilton,131,mercedes,19,70,193.787,57,5983746,5983.746,99.7291
2022,1087,1,hamilton,131,mercedes,19,0,.,.,.,.,.
2022,1088,1,hamilton,131,mercedes,19,72,207.604,54,5815789,5815.789,96.92982
2022,1089,1,hamilton,131,mercedes,19,53,246.995,43,4832891,4832.891,80.54818
2022,1091,1,hamilton,131,mercedes,19,59,164.766,58,7401753,7401.753,123.3626
2022,1092,1,hamilton,131,mercedes,19,28,198.097,11,1094433,1094.433,18.24055
2022,1093,1,hamilton,131,mercedes,19,56,198.805,45,6136710,6136.71,102.2785
2022,1094,1,hamilton,131,mercedes,19,71,188.813,32,5931915,5931.915,98.86525
2022,1095,1,hamilton,131,mercedes,19,71,209.791,63,5915573,5915.573,98.59288
2022,1096,1,hamilton,131,mercedes,19,55,211.738,42,.,.,.
2023,1098,1,hamilton,131,mercedes,19,57,201.802,36,5687713,5687.713,94.79522
2023,1099,1,hamilton,131,mercedes,19,50,239.145,47,4905959,4905.959,81.76598
2023,1100,1,hamilton,131,mercedes,19,58,235.703,49,9158550,9158.55,152.6425
2023,1101,1,hamilton,131,mercedes,19,51,205.141,48,5608581,5608.581,93.47635
2023,1102,1,hamilton,131,mercedes,19,57,214.882,57,5309490,5309.49,88.4915
2023,1104,1,hamilton,131,mercedes,19,78,158.799,33,6571042,6571.042,109.5174
2023,1105,1,hamilton,131,mercedes,19,66,218.649,62,5302030,5302.03,88.36717
2023,1106,1,hamilton,131,mercedes,19,70,208.228,47,5642946,5642.946,94.0491
2023,1107,1,hamilton,131,mercedes,19,71,224.366,49,5182803,5182.803,86.38005
2023,1108,1,hamilton,131,mercedes,19,52,234.221,43,5123721,5123.721,85.39535
2023,1109,1,hamilton,131,mercedes,19,70,193.277,54,5927768,5927.768,98.79613
2023,1110,1,hamilton,131,mercedes,19,44,234.978,44,5000121,5000.121,83.33535
2023,1111,1,hamilton,131,mercedes,19,72,207.463,58,8657620,8657.62,144.2937
